18:30:30 | +29.87s | MainThread | INFO | Resumen concurrente: 11 fragmentos procesados en 29.85 segundos
18:31:51 | +0.03s | MainThread | INFO | Inicio modo concurrente/streaming con 22 fragmentos
18:31:51 | +0.03s | MainThread | INFO | Primer fragmento: He reflexionado largamente sobre lo que me pediste, y aunque intenté apartarlo de mi mente, no me fue posible,
18:31:51 | +0.03s | tts_0 | INFO | Generando fragmento 1
18:31:51 | +0.99s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
18:31:51 | +0.99s | MainThread | INFO | Reproduciendo fragmento 1
18:31:51 | +0.99s | tts_0 | INFO | Generando fragmento 2
18:31:52 | +1.54s | tts_0 | INFO | Fragmento 2 listo: fragmento_002.wav
18:31:52 | +1.54s | tts_0 | INFO | Generando fragmento 3
18:31:52 | +2.00s | tts_0 | INFO | Fragmento 3 listo: fragmento_003.wav
18:31:53 | +2.00s | tts_0 | INFO | Generando fragmento 4
18:31:53 | +2.44s | tts_0 | INFO | Fragmento 4 listo: fragmento_004.wav
18:32:01 | +10.89s | MainThread | INFO | Termino fragmento 1
18:32:01 | +10.89s | MainThread | INFO | Reproduciendo fragmento 2
18:32:01 | +10.89s | tts_0 | INFO | Generando fragmento 5
18:32:02 | +11.36s | tts_0 | INFO | Fragmento 5 listo: fragmento_005.wav
18:32:11 | +20.32s | MainThread | INFO | Termino fragmento 2
18:32:11 | +20.32s | MainThread | INFO | Reproduciendo fragmento 3
18:32:11 | +20.32s | tts_0 | INFO | Generando fragmento 6
18:32:11 | +20.77s | tts_0 | INFO | Fragmento 6 listo: fragmento_006.wav
18:32:12 | +21.44s | MainThread | INFO | Termino fragmento 3
18:32:12 | +21.44s | MainThread | INFO | Reproduciendo fragmento 4
18:32:12 | +21.45s | tts_0 | INFO | Generando fragmento 7
18:32:12 | +21.95s | tts_0 | INFO | Fragmento 7 listo: fragmento_007.wav
18:32:13 | +22.49s | MainThread | INFO | Termino fragmento 4
18:32:13 | +22.49s | MainThread | INFO | Reproduciendo fragmento 5
18:32:13 | +22.49s | tts_0 | INFO | Generando fragmento 8
18:32:14 | +23.02s | tts_0 | INFO | Fragmento 8 listo: fragmento_008.wav
18:32:14 | +23.54s | MainThread | INFO | Termino fragmento 5
18:32:14 | +23.54s | MainThread | INFO | Reproduciendo fragmento 6
18:32:14 | +23.54s | tts_0 | INFO | Generando fragmento 9
18:32:14 | +24.00s | tts_0 | INFO | Fragmento 9 listo: fragmento_009.wav
18:32:15 | +24.59s | MainThread | INFO | Termino fragmento 6
18:32:15 | +24.59s | MainThread | INFO | Reproduciendo fragmento 7
18:32:15 | +24.59s | tts_0 | INFO | Generando fragmento 10
18:32:16 | +25.16s | tts_0 | INFO | Fragmento 10 listo: fragmento_010.wav
18:32:16 | +25.64s | MainThread | INFO | Termino fragmento 7
18:32:16 | +25.64s | MainThread | INFO | Reproduciendo fragmento 8
18:32:16 | +25.64s | tts_0 | INFO | Generando fragmento 11
18:32:17 | +26.09s | tts_0 | INFO | Fragmento 11 listo: fragmento_011.wav
18:32:17 | +26.69s | MainThread | INFO | Termino fragmento 8
18:32:17 | +26.69s | MainThread | INFO | Reproduciendo fragmento 9
18:32:17 | +26.69s | tts_0 | INFO | Generando fragmento 12
18:32:18 | +27.05s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $text = [System.IO.File]::ReadAllText($args[1], [System.Text.Encoding]::UTF8); $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($text); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_012.wav', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_012.txt']' returned non-zero exit status 1.). Se crea audio silencioso.
18:32:18 | +27.06s | tts_0 | INFO | Fragmento 12 listo: fragmento_012.wav
18:32:18 | +27.73s | MainThread | INFO | Termino fragmento 9
18:32:18 | +27.73s | MainThread | INFO | Reproduciendo fragmento 10
18:32:18 | +27.73s | tts_0 | INFO | Generando fragmento 13
18:32:19 | +28.09s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $text = [System.IO.File]::ReadAllText($args[1], [System.Text.Encoding]::UTF8); $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($text); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_013.wav', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_013.txt']' returned non-zero exit status 1.). Se crea audio silencioso.
18:32:19 | +28.09s | tts_0 | INFO | Fragmento 13 listo: fragmento_013.wav
18:32:19 | +28.78s | MainThread | INFO | Termino fragmento 10
18:32:19 | +28.78s | MainThread | INFO | Reproduciendo fragmento 11
18:32:19 | +28.78s | tts_0 | INFO | Generando fragmento 14
18:32:20 | +29.13s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $text = [System.IO.File]::ReadAllText($args[1], [System.Text.Encoding]::UTF8); $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($text); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_014.wav', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_014.txt']' returned non-zero exit status 1.). Se crea audio silencioso.
18:32:20 | +29.13s | tts_0 | INFO | Fragmento 14 listo: fragmento_014.wav
18:32:20 | +29.82s | MainThread | INFO | Termino fragmento 11
18:32:20 | +29.82s | MainThread | INFO | Reproduciendo fragmento 12
18:32:20 | +29.82s | tts_0 | INFO | Generando fragmento 15
